repo,sha,message,url,func_changes
apache/airflow,14d6300232dc2b5f0155a57cbcf233c39354f839,Fix Grid view vanishing (#53886),https://github.com/apache/airflow/commit/14d6300232dc2b5f0155a57cbcf233c39354f839,0
apache/airflow,71ac55cb3ac7ea492ed96636ec45add84e000ea4,Bump the core-ui-package-updates group across 1 directory with 11 updates,https://github.com/apache/airflow/commit/71ac55cb3ac7ea492ed96636ec45add84e000ea4,0
apache/airflow,356c4417900ff3682dbacbdae2527482b99d2c85,Bump the core-ui-package-updates group across 1 directory with 47 updates,https://github.com/apache/airflow/commit/356c4417900ff3682dbacbdae2527482b99d2c85,0
apache/airflow,59351cc0ae1ce24daec40fdbc70175f42d8bc7ec,"Revert ""Fix editing connection with sensitive extra field"" (#53888)",https://github.com/apache/airflow/commit/59351cc0ae1ce24daec40fdbc70175f42d8bc7ec,0
apache/airflow,6a962404e2f83b263932686ad18308a63c401cf4,"Revert ""[v3-0-test] Fix editing connection with sensitive extra field (#52403…"" (#53889)",https://github.com/apache/airflow/commit/6a962404e2f83b263932686ad18308a63c401cf4,0
apache/airflow,5523514dbd9326847a6a4c0dca930b8ab52e8bda,[v3-0-test] Allow Remote logging providers to load connections from the API Server (#53719) (#53761),https://github.com/apache/airflow/commit/5523514dbd9326847a6a4c0dca930b8ab52e8bda,5
apache/airflow,d13873666cae5452aad3ebeaaf632658f6a9cc38,Move functions in `airflow.utils.decorator` to more appropriate places (#53420),https://github.com/apache/airflow/commit/d13873666cae5452aad3ebeaaf632658f6a9cc38,5
apache/airflow,ae7067a8da8d47b168d1659d848d49ae6a408989,fix(hitl): rename /hitl-details endpoints as /hitlDetails (#53885),https://github.com/apache/airflow/commit/ae7067a8da8d47b168d1659d848d49ae6a408989,0
apache/airflow,96b3610a56256c5c87cc65380be7e895ed4bdd50,Typo fix in docker-tests print (#53879),https://github.com/apache/airflow/commit/96b3610a56256c5c87cc65380be7e895ed4bdd50,0
apache/airflow,b7f21d3eeda5102966b293c436164026e7b81e77,Fix SnowflakeCheckOperator and SnowflakeValueCheckOperator to use parameters arg correctly (#53837),https://github.com/apache/airflow/commit/b7f21d3eeda5102966b293c436164026e7b81e77,1
apache/airflow,a8c4ba35351afeef8f15c9627e04241a29054fe4,Fix custom xcom backend serialize when BaseXCom.get_all is used (#53814),https://github.com/apache/airflow/commit/a8c4ba35351afeef8f15c9627e04241a29054fe4,0
apache/airflow,400275fce5f749df2a98b22f9de93bf3bcbf8d25,Make BaseOperator on_kill functionality work with TaskSDK (#53718) (#53832),https://github.com/apache/airflow/commit/400275fce5f749df2a98b22f9de93bf3bcbf8d25,0
apache/airflow,4dc59422dedc1e2ff5562ca54aeb4aa2121b5f7d,[v3-0-test] Fix scheduler heartbeat timeout failures with ``DetachedInstanceError`` (#53838),https://github.com/apache/airflow/commit/4dc59422dedc1e2ff5562ca54aeb4aa2121b5f7d,0
apache/airflow,94580537f56a2123f103640aaa6c87b4462c1b30,Fix scheduler heartbeat timeout failures with ``DetachedInstanceError`` (#53838),https://github.com/apache/airflow/commit/94580537f56a2123f103640aaa6c87b4462c1b30,0
apache/airflow,d506349f8683c357a3f5f51e5310c6f9048a85b5,Make BaseOperator on_kill functionality work with TaskSDK (#53718),https://github.com/apache/airflow/commit/d506349f8683c357a3f5f51e5310c6f9048a85b5,0
apache/airflow,e83ca8e96aa5c32b73ca8f73ac86277310626dd3,Fix poolbar counts (#53825),https://github.com/apache/airflow/commit/e83ca8e96aa5c32b73ca8f73ac86277310626dd3,0
apache/airflow,69ab304ffa3d9b847b7dd0ee90ee6ef100223d66,Add deprecation warnings + doc for `airflow.security.permissions` (#53796),https://github.com/apache/airflow/commit/69ab304ffa3d9b847b7dd0ee90ee6ef100223d66,1
