repo,sha,message,url,func_changes
PyCQA/bandit,d8feade707d29d2f35ead8afb349cdf8843f0d74,Bump sigstore/cosign-installer from 3.8.1 to 3.8.2 (#1262),https://github.com/PyCQA/bandit/commit/d8feade707d29d2f35ead8afb349cdf8843f0d74,0
PyCQA/bandit,b054c097fda9d109d54bbc53064fa95cf43d8f7f,Fix up some of the warnings when building docs (#1258),https://github.com/PyCQA/bandit/commit/b054c097fda9d109d54bbc53064fa95cf43d8f7f,0
PyCQA/bandit,1ab078878abcedee96330b27e70d3eb3871dc192,Fix traceback from trojansource plugin (#1248),https://github.com/PyCQA/bandit/commit/1ab078878abcedee96330b27e70d3eb3871dc192,0
PyCQA/bandit,b983c276759233e68ef236ed6f34e07e038327f5,Bump docker/login-action from 3.3.0 to 3.4.0 (#1245),https://github.com/PyCQA/bandit/commit/b983c276759233e68ef236ed6f34e07e038327f5,0
PyCQA/bandit,2108a6fdaed254c9d33b8c115fc65a4565667f07,Bump sigstore/cosign-installer from 3.8.0 to 3.8.1 (#1239),https://github.com/PyCQA/bandit/commit/2108a6fdaed254c9d33b8c115fc65a4565667f07,0
PyCQA/bandit,c58c00a2427012874fadc5379a9c676c98fced85,Add more random functions to B311 check (#1235),https://github.com/PyCQA/bandit/commit/c58c00a2427012874fadc5379a9c676c98fced85,0
PyCQA/bandit,8ff25e07e487f143571cc305e56dd0253c60bc7b,Pytorch fix (#1231),https://github.com/PyCQA/bandit/commit/8ff25e07e487f143571cc305e56dd0253c60bc7b,2
PyCQA/bandit,def123ac6dc581a4240a0656319251a46ab80d45,B107: Skip None values in hardcoded password detection (#1232),https://github.com/PyCQA/bandit/commit/def123ac6dc581a4240a0656319251a46ab80d45,1
PyCQA/bandit,affd4fd1f506819de211797f3ea4e11114c31bf1,Warn not error on an nonexistant test given (#1230),https://github.com/PyCQA/bandit/commit/affd4fd1f506819de211797f3ea4e11114c31bf1,0
PyCQA/bandit,5e3e694325563a0a07053efd162a661f418948bb,Add markupsafe.Markup XSS plugin (#1225),https://github.com/PyCQA/bandit/commit/5e3e694325563a0a07053efd162a661f418948bb,2
PyCQA/bandit,7619cc4d787923ed836014e28f8970f2955ff7c0,[pre-commit.ci] pre-commit autoupdate (#1229),https://github.com/PyCQA/bandit/commit/7619cc4d787923ed836014e28f8970f2955ff7c0,0
PyCQA/bandit,e4da0b351f89a82b5de8dd791cbdd963476b5a11,Remove lxml (B320 & B410) from blacklist (#1212),https://github.com/PyCQA/bandit/commit/e4da0b351f89a82b5de8dd791cbdd963476b5a11,0
PyCQA/bandit,48e0258f14a20bb74aff4fb17d254c178d84c0c4,Add a JSON to seek funding from the FLOSS/fund (#1194),https://github.com/PyCQA/bandit/commit/48e0258f14a20bb74aff4fb17d254c178d84c0c4,0
PyCQA/bandit,071386bcd801114a88cd42f1ef76e34f50f96661,No need to check httpx client without timeout defined (#1177),https://github.com/PyCQA/bandit/commit/071386bcd801114a88cd42f1ef76e34f50f96661,0
PyCQA/bandit,01302baa3ff3aff1e76638281529d2004910c551,Rename doc file to match proper bandit ID (#1183),https://github.com/PyCQA/bandit/commit/01302baa3ff3aff1e76638281529d2004910c551,0
PyCQA/bandit,36fd65054fc8864b4037d0918904f9331512feb5,Pytorch Load / Save Plugin (#1114),https://github.com/PyCQA/bandit/commit/36fd65054fc8864b4037d0918904f9331512feb5,1
PyCQA/bandit,4ac55dfaaacf2083497831294b2dcd7e679f8428,Use consistent file naming of docs (#1170),https://github.com/PyCQA/bandit/commit/4ac55dfaaacf2083497831294b2dcd7e679f8428,0
PyCQA/bandit,90490c705926432df1922e5b73b94d0e21958c1a,Bump docker/login-action from 3.2.0 to 3.3.0 (#1159),https://github.com/PyCQA/bandit/commit/90490c705926432df1922e5b73b94d0e21958c1a,0
PyCQA/bandit,ec384b84261e563d4dc5cfe71673f159fcb199af,New check: B113: TrojanSource - Bidirectional control characters (#757),https://github.com/PyCQA/bandit/commit/ec384b84261e563d4dc5cfe71673f159fcb199af,1
PyCQA/bandit,6142b7a6aa1b9a4ac997955e48eadab144434df2,Add test for usage of FTP_TLS (#1149),https://github.com/PyCQA/bandit/commit/6142b7a6aa1b9a4ac997955e48eadab144434df2,0
PyCQA/bandit,4208e9d95ebbe2c1fa294b3dad7685035520b92f,Performance improvement in blacklist function (#1148),https://github.com/PyCQA/bandit/commit/4208e9d95ebbe2c1fa294b3dad7685035520b92f,0
PyCQA/bandit,2b4195580353e75837c692c8df57e699bc06d455,Suggested small refactors in assignments (#1150),https://github.com/PyCQA/bandit/commit/2b4195580353e75837c692c8df57e699bc06d455,0
PyCQA/bandit,049eba08c90c86404d16ed71e5f109dfddf459cd,Guard against empty call argument list (#1146),https://github.com/PyCQA/bandit/commit/049eba08c90c86404d16ed71e5f109dfddf459cd,0
PyCQA/bandit,313cae756a351ca3e7b6a183fe87a92b9d56ea22,Bump docker/login-action from 3.1.0 to 3.2.0 (#1142),https://github.com/PyCQA/bandit/commit/313cae756a351ca3e7b6a183fe87a92b9d56ea22,0
PyCQA/bandit,3fa1e257a864b03d621b8de1425ff69dda7d1736,Ensure sarif extra is included as part of doc build (#1139),https://github.com/PyCQA/bandit/commit/3fa1e257a864b03d621b8de1425ff69dda7d1736,0
PyCQA/bandit,960edb70dd2c476e4bdb95c413b6ec58bf6d00e6,Bump docker/login-action from 3.0.0 to 3.1.0 (#1125),https://github.com/PyCQA/bandit/commit/960edb70dd2c476e4bdb95c413b6ec58bf6d00e6,0
PyCQA/bandit,b5fde76f328d5a2e1d534bcde86bd59e0010fec5,New logo for Bandit based on raccoon (#1121),https://github.com/PyCQA/bandit/commit/b5fde76f328d5a2e1d534bcde86bd59e0010fec5,0
PyCQA/bandit,52d2dc961bf7f39d903636161304be29d3c3f1e2,[pre-commit.ci] pre-commit autoupdate (#1119),https://github.com/PyCQA/bandit/commit/52d2dc961bf7f39d903636161304be29d3c3f1e2,0
PyCQA/bandit,b603dce79aefe794ce6a0531cb191a45f4e52e01,[B605] Add functions that are vulnerable to shell injection. (#1116),https://github.com/PyCQA/bandit/commit/b603dce79aefe794ce6a0531cb191a45f4e52e01,0
PyCQA/bandit,3f86e84b5c0b4aad3995f642c32f554a41c9c6a8,Remove markdown formatting in reStructuredText formatted README (#1103),https://github.com/PyCQA/bandit/commit/3f86e84b5c0b4aad3995f642c32f554a41c9c6a8,0
PyCQA/bandit,ff7ed4b192566367ea86733172ef47a29004bc9f,Introduce Official Bandit Images (#1088),https://github.com/PyCQA/bandit/commit/ff7ed4b192566367ea86733172ef47a29004bc9f,0
PyCQA/bandit,22c75a8306103052c4cbfe69e45931efdd5e4353,Rework GitPython dependency to be an extra for bandit-baseline (#1099),https://github.com/PyCQA/bandit/commit/22c75a8306103052c4cbfe69e45931efdd5e4353,0
PyCQA/bandit,12e14f61e91aafdf0767d3e8c2193174b9808652,Prepend ./ for files specified as CLI args (#1094),https://github.com/PyCQA/bandit/commit/12e14f61e91aafdf0767d3e8c2193174b9808652,0
PyCQA/bandit,7129108b1910897a5f36dea052d10cf721392a56,Fix up issues found running Bandit on itself (#1093),https://github.com/PyCQA/bandit/commit/7129108b1910897a5f36dea052d10cf721392a56,0
PyCQA/bandit,c2bd6d6368f783400d2c89a83ca171ceaa12ac26,Create a security policy (#1091),https://github.com/PyCQA/bandit/commit/c2bd6d6368f783400d2c89a83ca171ceaa12ac26,0
PyCQA/bandit,fe9ca8b7139e5e73e24f3176e7a771bc0ce9b8a9,Flag str.replace as possible sql injection (#1044),https://github.com/PyCQA/bandit/commit/fe9ca8b7139e5e73e24f3176e7a771bc0ce9b8a9,0
PyCQA/bandit,5ec806de1901fe99083ddeab4b117c2ccf84c2e9,Handle variant in how policy is passed in paramiko (#1078),https://github.com/PyCQA/bandit/commit/5ec806de1901fe99083ddeab4b117c2ccf84c2e9,0
PyCQA/bandit,f3a18ab30bc444e62d02505419ab7059cead0853,Fixes for sphinx build (#1063),https://github.com/PyCQA/bandit/commit/f3a18ab30bc444e62d02505419ab7059cead0853,0
PyCQA/bandit,0d3508660654776e3b440c3b46d708dc3792cd4a,Fix crash on pyproject.toml without bandit config (#1073),https://github.com/PyCQA/bandit/commit/0d3508660654776e3b440c3b46d708dc3792cd4a,0
PyCQA/bandit,6969489ff711a1762bd44d00eaaba75f0c7102f6,fix(plugins/B507): also detect class instances (#1064),https://github.com/PyCQA/bandit/commit/6969489ff711a1762bd44d00eaaba75f0c7102f6,0
PyCQA/bandit,02faadac77e8901f0367dfea463cba484eaeeec7,Fix for ReadtheDocs build (#1061),https://github.com/PyCQA/bandit/commit/02faadac77e8901f0367dfea463cba484eaeeec7,0
PyCQA/bandit,0f49be77223c1a89ca80eb8cea911e6ac3e2a52d,Fix dependabot to update github actions (#1057),https://github.com/PyCQA/bandit/commit/0f49be77223c1a89ca80eb8cea911e6ac3e2a52d,0
PyCQA/bandit,6d1d11c01e7824c04cc5005b4fe6b932c6999b18,Support ignoring blacklists by name (#1046),https://github.com/PyCQA/bandit/commit/6d1d11c01e7824c04cc5005b4fe6b932c6999b18,0
PyCQA/bandit,215f01435e1347b8ac46add1f42ad1f46d373139,Update blacklist call documentation (#1045),https://github.com/PyCQA/bandit/commit/215f01435e1347b8ac46add1f42ad1f46d373139,0
PyCQA/bandit,fb2f1805f4aa34237ccc9bf790072ad04700e26f,Avoid gitpyhon CVE-2022-24439 (#1048),https://github.com/PyCQA/bandit/commit/fb2f1805f4aa34237ccc9bf790072ad04700e26f,0
PyCQA/bandit,c420d1d5356f6979b7af3cc46bd182f3ac9edaeb,django_rawsql_used: support keyword arguments used in `RawSQL` (#765),https://github.com/PyCQA/bandit/commit/c420d1d5356f6979b7af3cc46bd182f3ac9edaeb,0
PyCQA/bandit,db6d677dab5a374e1d7b0768897e5f35d372d2d9,Remove support for Python 3.7 due to end-of-life (#1034),https://github.com/PyCQA/bandit/commit/db6d677dab5a374e1d7b0768897e5f35d372d2d9,0
PyCQA/bandit,c4da1cb430a905b3c9e0b77f0ee051bc9f6c2d15,Adds check for crypt module usage as weak hash (#1018),https://github.com/PyCQA/bandit/commit/c4da1cb430a905b3c9e0b77f0ee051bc9f6c2d15,5
PyCQA/bandit,af6b4360a9db0ed194c11562007acfef2baa50d0,Improper detection of non-requests module (#1011),https://github.com/PyCQA/bandit/commit/af6b4360a9db0ed194c11562007acfef2baa50d0,0
PyCQA/bandit,02d73e94750a2a5d42e886b28243b03e920fb780,Remove checks for Python2 urllib (#999),https://github.com/PyCQA/bandit/commit/02d73e94750a2a5d42e886b28243b03e920fb780,0
PyCQA/bandit,ff431afe5c77a4d7e8203e6dcf8e78e2a9f44b55,Render Python 3.10 in drop down correctly (#997),https://github.com/PyCQA/bandit/commit/ff431afe5c77a4d7e8203e6dcf8e78e2a9f44b55,0
PyCQA/bandit,7e6f580d6ad1b35be91046e591526602327a388d,Improve detecting SQL injections in f-strings (#917),https://github.com/PyCQA/bandit/commit/7e6f580d6ad1b35be91046e591526602327a388d,1
PyCQA/bandit,a76299303f15268e97a6bacb1cb32a804893c584,Fix breaking build due to new tox (#983),https://github.com/PyCQA/bandit/commit/a76299303f15268e97a6bacb1cb32a804893c584,0
PyCQA/bandit,3aaa2b07be47090344d89e5532bcde15127c2909,remove py2 exec example in docs (#947),https://github.com/PyCQA/bandit/commit/3aaa2b07be47090344d89e5532bcde15127c2909,0
PyCQA/bandit,a74385886432e37211f88d5caf135be4bbfdad57,Typo fix (#945),https://github.com/PyCQA/bandit/commit/a74385886432e37211f88d5caf135be4bbfdad57,0
PyCQA/bandit,97501817e621db9975dfa6a2a1d36370942d1812,Fix AttributeError on detect of tuple assign condition (#931),https://github.com/PyCQA/bandit/commit/97501817e621db9975dfa6a2a1d36370942d1812,1
PyCQA/bandit,6a003175313ddc26af003957daf689e848913bde,Fix json and yaml formatters to respect num lines (#929),https://github.com/PyCQA/bandit/commit/6a003175313ddc26af003957daf689e848913bde,0
