repo,sha,message,url,func_changes
volatilityfoundation/volatility,703b29be247c17f63c844590102495c19826ccec,Linux - fix bug in file enumeration code,https://github.com/volatilityfoundation/volatility/commit/703b29be247c17f63c844590102495c19826ccec,2
volatilityfoundation/volatility,794d25e1f720016bdf768547e5a240cb9fdc4333,Merge pull request #633 from iSmellPowder/patch-1,https://github.com/volatilityfoundation/volatility/commit/794d25e1f720016bdf768547e5a240cb9fdc4333,0
volatilityfoundation/volatility,3df9f77870b2fd763014f66f163a6c4b47fb5194,fix bitmap crashdump vtype and add 32-bit support,https://github.com/volatilityfoundation/volatility/commit/3df9f77870b2fd763014f66f163a6c4b47fb5194,0
volatilityfoundation/volatility,050dab6dab20e42e03b76d5ffb023d27dc5e9340,small fix,https://github.com/volatilityfoundation/volatility/commit/050dab6dab20e42e03b76d5ffb023d27dc5e9340,0
volatilityfoundation/volatility,459d529b2e3de95f81a7fcde20ef96da2e196781,fix registry BlockAddress for Win10,https://github.com/volatilityfoundation/volatility/commit/459d529b2e3de95f81a7fcde20ef96da2e196781,0
volatilityfoundation/volatility,781d74acf3f72b435e7e76abc21b523cf5178ac1,Mac - fix bug in list_files,https://github.com/volatilityfoundation/volatility/commit/781d74acf3f72b435e7e76abc21b523cf5178ac1,0
volatilityfoundation/volatility,9b71e9e4e0aace166135f47a5fa0abfc74c0450d,fix ssdt indexes on windows 10 x64,https://github.com/volatilityfoundation/volatility/commit/9b71e9e4e0aace166135f47a5fa0abfc74c0450d,0
volatilityfoundation/volatility,76685dbf9541aab14dce9b75a7c5a6fdeeb163bc,patch the windows handles() plugin for older no PAT systems,https://github.com/volatilityfoundation/volatility/commit/76685dbf9541aab14dce9b75a7c5a6fdeeb163bc,0
volatilityfoundation/volatility,753bfa87b62ecf4652f1850ebb8dd8d719a953a8,Linux - fix smear issue in check_fop,https://github.com/volatilityfoundation/volatility/commit/753bfa87b62ecf4652f1850ebb8dd8d719a953a8,0
volatilityfoundation/volatility,975b5578475036ff4b554656e07426a6f9fb844b,Linux - update pidhashtable to fix bug,https://github.com/volatilityfoundation/volatility/commit/975b5578475036ff4b554656e07426a6f9fb844b,0
volatilityfoundation/volatility,82cfd41b4b04b6714e488de63d26416375790134,Mac - fix smearing corruption in route cache gathering,https://github.com/volatilityfoundation/volatility/commit/82cfd41b4b04b6714e488de63d26416375790134,0
volatilityfoundation/volatility,5c728c8d2b3bb885993bd71d8e80f78215b93a89,Linux - fix the 1000th iteration mount list corruption,https://github.com/volatilityfoundation/volatility/commit/5c728c8d2b3bb885993bd71d8e80f78215b93a89,0
volatilityfoundation/volatility,f1ac0b1e90cf486da2a37cffb3448b208943d226,Merge pull request #574 from ant1/fix-yarascan-R,https://github.com/volatilityfoundation/volatility/commit/f1ac0b1e90cf486da2a37cffb3448b208943d226,0
volatilityfoundation/volatility,73077d6fe6513ec6a9a9b44e0310ba2ef1841493,Fix the offset printed when using linux_yarascan -R,https://github.com/volatilityfoundation/volatility/commit/73077d6fe6513ec6a9a9b44e0310ba2ef1841493,0
volatilityfoundation/volatility,df6c40aa1ba91d2071747b908fc87129685f302c,Fix the offset printed when using mac_yarascan -R,https://github.com/volatilityfoundation/volatility/commit/df6c40aa1ba91d2071747b908fc87129685f302c,0
volatilityfoundation/volatility,68aeefbf64b3f76bc34c6e4f797a6d79f734e4c9,Fix the offset printed when using yarascan -R,https://github.com/volatilityfoundation/volatility/commit/68aeefbf64b3f76bc34c6e4f797a6d79f734e4c9,0
volatilityfoundation/volatility,c67017651e3cc774b944203677d15411adb7c6e4,Merge pull request #572 from atoptsoglou/patch-1,https://github.com/volatilityfoundation/volatility/commit/c67017651e3cc774b944203677d15411adb7c6e4,0
volatilityfoundation/volatility,2a69fab1cccd1830b24508fee4270446b41d066b,Merge pull request #562 from mattura/master,https://github.com/volatilityfoundation/volatility/commit/2a69fab1cccd1830b24508fee4270446b41d066b,0
volatilityfoundation/volatility,4d44a45290445599255482a08c2bd3c3a53927a7,Merge pull request #569 from mifrazmurthaja/master,https://github.com/volatilityfoundation/volatility/commit/4d44a45290445599255482a08c2bd3c3a53927a7,0
volatilityfoundation/volatility,99bf82a21d344ba16ee7509f5ae2b818f65a4dd0,Merge pull request #566 from xtrm0/patch-1,https://github.com/volatilityfoundation/volatility/commit/99bf82a21d344ba16ee7509f5ae2b818f65a4dd0,0
volatilityfoundation/volatility,720edbd8c1e328e0e190907d7edb104790b857c3,Fix #565,https://github.com/volatilityfoundation/volatility/commit/720edbd8c1e328e0e190907d7edb104790b857c3,0
volatilityfoundation/volatility,6e3b2e8100a902ede627da210df5f8b3c802f944,"Fix updated pyinstaller ""empty DEST"" issue",https://github.com/volatilityfoundation/volatility/commit/6e3b2e8100a902ede627da210df5f8b3c802f944,0
volatilityfoundation/volatility,4821ab67df55b5df370c90abe0e37ac1c59e00c4,"Fix updated pyinstaller ""empty DEST"" issue",https://github.com/volatilityfoundation/volatility/commit/4821ab67df55b5df370c90abe0e37ac1c59e00c4,0
volatilityfoundation/volatility,13c6343e8433f39367049bdcd3a2c5be7f730ed8,"Fix updated pyinstaller ""empty DEST"" issue",https://github.com/volatilityfoundation/volatility/commit/13c6343e8433f39367049bdcd3a2c5be7f730ed8,0
