repo,sha,message,url,func_changes
yaml/pyyaml,41309b0bcb4559edb1d691d47199035ef539d785,Release 6.0.2 (#819),https://github.com/yaml/pyyaml/commit/41309b0bcb4559edb1d691d47199035ef539d785,0
yaml/pyyaml,f74f3350b530450ecd033ba5aceb334c4af867bd,fix `setup.py test` and issue deprecation warning (#820),https://github.com/yaml/pyyaml/commit/f74f3350b530450ecd033ba5aceb334c4af867bd,0
yaml/pyyaml,dd9f0e1236775dcce682c91823e009556ce2a271,6.0.2rc1 (#809),https://github.com/yaml/pyyaml/commit/dd9f0e1236775dcce682c91823e009556ce2a271,7
yaml/pyyaml,f873cfef316290c7cb5351b7e77a8d69d48d4f7d,Add python 3.11 support (#663),https://github.com/yaml/pyyaml/commit/f873cfef316290c7cb5351b7e77a8d69d48d4f7d,0
yaml/pyyaml,0abad85a17ba75c0fb431feea7a6a06125341a99,security disclosure docs,https://github.com/yaml/pyyaml/commit/0abad85a17ba75c0fb431feea7a6a06125341a99,0
yaml/pyyaml,c468e526797720ef59e57e6c92a1603479d4c010,Change yaml.load* methods to accept a Loader* instance,https://github.com/yaml/pyyaml/commit/c468e526797720ef59e57e6c92a1603479d4c010,2
yaml/pyyaml,a6d384c52ea54ded80df27032c7b6d3a98b0c2fa,Various setup fixes,https://github.com/yaml/pyyaml/commit/a6d384c52ea54ded80df27032c7b6d3a98b0c2fa,0
yaml/pyyaml,c2743653bc89e42679ba097b4f9888db47c61d63,"The yaml.load{,_all} functions require Loader= now",https://github.com/yaml/pyyaml/commit/c2743653bc89e42679ba097b4f9888db47c61d63,5
yaml/pyyaml,2f87ac4838840a2e3cb48504dcd74041921ab184,Add a basic test file for yaml.load and yaml.dump,https://github.com/yaml/pyyaml/commit/2f87ac4838840a2e3cb48504dcd74041921ab184,3
yaml/pyyaml,8f27932796623d58fe9e226e141cd27a6f0befec,Fix float resolver for '.' and '._',https://github.com/yaml/pyyaml/commit/8f27932796623d58fe9e226e141cd27a6f0befec,0
